Date Time,Open,High,Low,Close,Volume
2010/1/7,4540.009,4554.932,4436.767,4459.155,100
2010/1/8,4439.206,4514.719,4426.235,4514.452,100
2010/1/11,4549.318,4558.461,4502.994,4542.949,100
2010/1/12,4535.304,4640.353,4524.675,4639.632,100
2010/1/13,4544.429,4650.059,4526.838,4591.024,100
2010/1/14,4598.405,4714.873,4598.405,4714.1,100
2010/1/15,4720.217,4753.189,4712.624,4747.648,100
2010/1/18,4744.325,4829.361,4738.911,4829.062,100
2010/1/19,4835.827,4852.325,4791.99,4830.016,100
2010/1/20,4830.421,4831.701,4635.669,4651.074,100
2010/1/21,4646.622,4696.161,4611.76,4667.209,100
2010/1/22,4613.193,4633.394,4453.69,4537.88,100
2010/1/25,4515.131,4542.786,4477.187,4481.16,100
2010/1/26,4467.521,4492.645,4254.323,4294.383,100
2010/1/27,4290.736,4344.132,4229.517,4267.113,100
2010/1/28,4266.056,4340.409,4249.771,4336.381,100
2010/1/29,4316.237,4418.402,4298.654,4374.649,100
2010/2/1,4366.489,4372.572,4269.33,4331.366,100
2010/2/2,4344.037,4388.351,4296.883,4301.768,100
2010/2/3,4299.966,4363.668,4160.352,4363.079,100
2010/2/4,4342.68,4445.754,4316.813,4408.441,100
2010/2/5,4312.549,4382.344,4270.71,4311.293,100
2010/2/8,4299.251,4330.204,4279.662,4310.894,100
2010/2/9,4300.32,4334.343,4284.517,4311.891,100
2010/2/10,4333.854,4366.495,4326.019,4366.25,100
2010/2/11,4367.721,4385.197,4352.114,4356.517,100
2010/2/12,4365.619,4418.539,4365.477,4416.219,100
2010/2/22,4412.553,4457.223,4401.057,4419.547,100
2010/2/23,4414.055,4459.726,4352.442,4459.155,100
2010/2/24,4438.395,4556.723,4419.452,4556.281,100
2010/2/25,4565.744,4632.97,4564.024,4629.965,100
2010/2/26,4618.639,4656.927,4602.016,4634.671,100
2010/3/1,4635.953,4692.833,4635.953,4686.266,100
2010/3/2,4692.606,4705.16,4660.166,4690.293,100
2010/3/3,4690.436,4761.577,4680.311,4758.434,100
2010/3/4,4763.637,4780.016,4572.07,4586.523,100
